Date,Open,Volume,High,Low,Close,Adj Close
2004-08-19,50.050049,44659000,52.082081,48.028027,50.220219,50.220219
2004-08-20,50.555557,22834300,54.594593,50.300301,54.209209,54.209209
2004-08-23,55.430431,18256100,56.796795,54.579578,54.754753,54.754753
2004-08-24,55.675674,15247300,55.855854,51.836838,52.487488,52.487488
2004-08-25,52.532532,9188600,54.054054,51.991993,53.053055,53.053055
2004-08-26,52.527527,7094800,54.029030,52.382381,54.009010,54.009010
2004-08-27,54.104103,6211700,54.364365,52.897900,53.128128,53.128128
2004-08-30,52.692692,5196700,52.797798,51.056057,51.056057,51.056057
2004-08-31,51.201202,4917800,51.906906,51.131130,51.236237,51.236237
2004-09-01,51.401402,9138200,51.536537,49.884884,50.175175,50.175175
2004-09-02,49.644646,15118600,51.236237,49.519520,50.805805,50.805805
2004-09-03,50.525524,5152400,50.920921,49.709709,50.055054,50.055054
2004-09-07,50.555557,5847500,51.051052,49.854855,50.840839,50.840839
2004-09-08,50.420422,4985600,51.566566,50.300301,51.201202,51.201202
2004-09-09,51.316315,4061700,51.406406,50.550552,51.206207,51.206207
2004-09-10,50.850849,8698800,53.333332,50.700699,52.717716,52.717716
2004-09-13,53.368370,7844100,54.259258,53.283283,53.803802,53.803802
2004-09-14,53.778778,10828900,56.056057,53.448448,55.800800,55.800800
2004-09-15,55.335335,10713000,57.172173,55.155155,56.056057,56.056057
2004-09-16,56.226227,9266300,57.957958,55.880882,57.042042,57.042042
2004-09-17,57.267269,9472500,58.803802,56.831833,58.803802,58.803802
2004-09-20,58.533535,10628700,60.860863,58.443443,59.739738,59.739738
2004-09-21,59.964966,7228700,60.270271,58.813812,58.978977,58.978977
2004-09-22,58.758759,7581200,59.894894,58.463463,59.249249,59.249249
2004-09-23,59.479481,8535600,61.376377,58.568569,60.470470,60.470470
2004-09-24,60.530529,9123400,62.112114,59.939941,59.974976,59.974976
2004-09-27,59.839840,7066100,60.500500,58.958958,59.189190,59.189190
2004-09-28,60.710712,16929000,63.763763,60.165165,63.493492,63.493492
2004-09-29,63.413414,30516400,67.577576,63.178177,65.605606,65.605606
2004-09-30,65.015015,13758000,66.216217,64.564568,64.864868,64.864868
2004-10-01,65.465462,15124800,67.187187,64.514511,66.356354,66.356354
2004-10-04,67.692696,13022700,68.503502,67.082085,67.597595,67.597595
2004-10-05,67.397400,14973200,69.334335,66.186188,69.254257,69.254257
2004-10-06,68.843842,13381400,69.294296,68.068069,68.608612,68.608612
2004-10-07,68.528526,14115000,70.010010,68.343346,69.494492,69.494492
2004-10-08,69.429428,11069500,69.909912,68.578575,68.933937,68.933937
2004-10-11,68.568565,10472100,69.499496,66.991989,67.697701,67.697701
2004-10-12,67.287285,11665500,68.873871,66.766769,68.768768,68.768768
2004-10-13,71.731735,19766200,71.846848,70.110107,70.520523,70.520523
2004-10-14,70.575577,10442100,71.261261,69.349350,71.071068,71.071068
2004-10-15,72.537537,13194700,72.822823,71.046043,72.127129,72.127129
2004-10-18,71.671669,14036300,74.674675,70.675674,74.654655,74.654655
2004-10-19,75.325325,18109800,76.276276,73.748749,74.044044,74.044044
2004-10-20,74.089088,22722600,74.569572,69.869873,70.315315,70.315315
2004-10-21,72.272270,29149800,75.140137,70.880882,74.764763,74.764763
2004-10-22,85.355354,73710000,90.175179,82.122124,86.301300,86.301300
2004-10-25,88.288292,65462800,97.312309,86.361359,93.793793,93.793793
2004-10-26,93.263260,44569500,96.416420,90.090088,90.990990,90.990990
2004-10-27,91.451454,26686200,94.854858,90.975975,93.078079,93.078079
2004-10-28,93.433434,29663900,97.292290,92.892891,96.746750,96.746750
2004-10-29,99.544548,42282600,100.075073,95.395393,95.415413,95.415413
2004-11-01,96.871872,24425300,98.933937,95.730728,98.113113,98.113113
2004-11-02,99.489487,22669900,99.724724,96.766769,97.532532,97.532532
2004-11-03,99.189186,27749600,100.900902,95.470474,95.930931,95.930931
2004-11-04,94.314316,28790300,95.295296,91.766769,92.442444,92.442444
2004-11-05,91.081078,39626500,91.241241,84.359360,84.759758,84.759758
2004-11-08,85.550552,22361200,87.807808,84.784782,86.361359,86.361359
2004-11-09,87.137138,22106200,87.687691,82.717720,84.434433,84.434433
2004-11-10,85.420418,21266700,86.346344,83.248245,84.014015,84.014015
2004-11-11,84.649651,29941000,91.966965,83.868866,91.601601,91.601601
2004-11-12,92.707710,33458700,94.994995,88.788788,91.091087,91.091087
2004-11-15,90.315315,23779100,94.254257,89.464462,92.527527,92.527527
2004-11-16,88.838837,41792900,89.824821,85.500504,86.356354,86.356354
2004-11-17,84.594597,36229500,88.838837,84.584587,86.336334,86.336334
2004-11-18,85.230232,33225900,87.297295,82.947945,83.853851,83.853851
2004-11-19,84.634636,17521000,85.075073,83.343346,84.784782,84.784782
2004-11-22,82.317314,24711600,84.834831,80.735733,82.632629,82.632629
2004-11-23,84.069069,24801700,85.500504,83.333336,83.843842,83.843842
2004-11-24,87.497498,30531400,88.693695,86.341339,87.467468,87.467468
2004-11-26,87.987991,12947200,90.105103,87.747749,89.784782,89.784782
2004-11-29,90.270271,21311800,91.566566,88.843842,90.615616,90.615616
2004-11-30,90.445442,15384600,91.591591,90.215218,91.081078,91.081078
2004-12-01,91.066063,15712400,91.341339,89.864868,90.070068,90.070068
2004-12-02,90.040039,12509200,90.845848,89.364365,89.789787,89.789787
2004-12-03,90.065063,11726600,90.620621,88.888885,90.290291,90.290291
2004-12-06,89.654655,12495400,90.440437,88.098099,88.233231,88.233231
2004-12-07,88.088089,13728000,88.188187,85.360359,85.800804,85.800804
2004-12-08,85.260262,15068500,86.926926,84.449448,85.075073,85.075073
2004-12-09,85.210213,15292600,86.836838,84.319321,86.801804,86.801804
2004-12-10,86.801804,8625700,87.527527,85.730728,85.910912,85.910912
2004-12-13,86.171173,9627500,86.676674,84.809807,85.310310,85.310310
2004-12-14,85.585587,22154600,89.499496,84.884888,89.434433,89.434433
2004-12-15,89.084084,22919000,90.435432,88.418419,89.979980,89.979980
2004-12-16,88.563560,17128400,90.335335,88.063065,88.323326,88.323326
2004-12-17,88.468468,14757600,90.340340,88.363365,90.130127,90.130127
2004-12-20,91.091087,19649300,94.324326,91.026024,92.602600,92.602600
2004-12-21,93.248245,11021500,94.034035,91.791794,91.966965,91.966965
2004-12-22,92.042046,7806100,93.518517,91.596596,93.243240,93.243240
2004-12-23,93.818817,7221900,94.394394,93.093094,94.044044,94.044044
2004-12-27,94.669670,12195900,96.746750,94.644646,96.051048,96.051048
2004-12-28,96.151154,8283300,96.871872,95.600601,96.476479,96.476479
2004-12-29,95.985985,5350800,96.856857,95.985985,96.546547,96.546547
2004-12-30,96.581581,11796700,99.214211,96.021019,98.898895,98.898895
2004-12-31,99.714714,15321600,100.040039,96.376373,96.491493,96.491493
2005-01-03,98.798798,31656700,101.921921,97.827827,101.456459,101.456459
